# npts = 3611
# number of variables = 27
density
temperature
ye
velx
pressure
entr
abar
enuc
n
H1
p
He3
He4
C12
N14
O16
Ne20
Mg24
Si28
S32
Ar36
Ca40
Ti44
Cr48
Fe52
Fe54
Ni56
         337537.71121300000232          1808953118.9500000477          6584485414.5799999237         0.46354931956700001772         -119.34958673799999929      1.0507722924199999529e+27         0.85488876350700004902          51.959996281300000476           10717328463399999488       0.0012822561731099999232                              0       8.734243857490000473e-08                              0      0.00055562984419200002559      3.5976537168900001507e-09                              0      7.9770873314700001431e-10      2.5784726164900001073e-12       2.784609616930000066e-11      1.0159525520600000283e-09      1.5988627581300000157e-10      1.8389748363700000301e-11      3.5904618100499999432e-12      3.0906166241799997709e-14      2.7972765513299999597e-14      2.4717986882499998539e-14       2.603937801570000207e-06         0.99815941707886168821
         594047.20889500004705          1808775668.3699998856          6584256849.8100004196         0.46354956795199997455         -150.37372296300000585      1.0506333147799999863e+27         0.85488120579199999849          51.961420944099998565           -3028276060670000128        0.001281773310189999928                              0      8.7287310247000001032e-08                              0      0.00055539992557500003894       3.594294609229999968e-09                              0       7.969471086430000436e-10      2.5755498214499998767e-12      2.7817658838999998508e-11      1.0150651159099999464e-09      1.5974328974399999034e-10      1.8372255479600000789e-11      3.5869898665700002016e-12      3.0871376680500002269e-14      2.7942324735400000559e-14      2.4692991233799999298e-14      2.6028843046100000086e-06         0.99816013097389177933
         832856.79917100002058          1808546203.4000000954          6584382058.4099998474         0.46354961633300001411         -189.46412342799999351      1.0504678768300000408e+27         0.85492014537299998445          51.961226871800000993           27715722773700001792       0.0012817750373099998963                              0      8.7383507065000006563e-08                              0      0.00055570183621600000631       3.598040236700000117e-09                              0      7.9785030440799997164e-10      2.5789263096800000188e-12      2.7854509254399999653e-11      1.0164074134999999535e-09      1.5997014328799999378e-10      1.8400719411899998846e-11      3.5929843078699998736e-12      3.0929638242799998024e-14      2.7998417638099998454e-14      2.4744858893900000256e-14      2.6054742517499999882e-06         0.99815982464369179539
         1091566.8908100000117          1808210945.4200000763          6583949998.1999998093          0.4635501103760000241         -238.72048948200000495      1.0502052732599999378e+27         0.85490514368399994627          51.964054238499997496           10433072867599998976         0.00128080996780000002                              0      8.7283427933799999951e-08                              0      0.00055527454860100004634      3.5918341717199998252e-09                              0      7.9645302301299999018e-10      2.5735737535999999389e-12      2.7802975359099998582e-11      1.0148240845999999777e-09      1.5971678470700000364e-10      1.8369841705900000803e-11       3.586895557460000096e-12      3.0868348050899999889e-14       2.794523145479999974e-14      2.4701639923399999577e-14      2.6036961071100000541e-06          0.9981612188884216863
         1396467.9321699999273          1807652727.5799999237          6583827660.9099998474         0.46355044627000002722         -300.79042371100001674       1.049788506010000046e+27         0.85495215674699998054          51.965328150899999571            4829191575489999872       0.0012803037564099999535                              0      8.7337681201200002729e-08                              0      0.00055538377220500003556      3.5924045655200001537e-09                              0      7.9663551382400004114e-10      2.5741255310600001914e-12      2.7812715570899998643e-11       1.015341680939999951e-09      1.5981103303599999601e-10      1.8382098373300000932e-11      3.5897226090500001794e-12       3.089476072769999813e-14      2.7974515224600000294e-14      2.4732792604399999137e-14      2.6054815216199998146e-06         0.99816161403576175726
         1770155.9408700000495          1806774676.2699999809          6583463106.4200000763         0.46355112485499999631         -379.01514024800002289      1.0491271220100000585e+27         0.85500511606499995931          51.968376500399998008            1289419793889999872       0.0012791689658799999113                              0      8.7361149785999996585e-08                              0      0.00055532223969999999508      3.5902215236899999634e-09                              0      7.9621766792400003071e-10      2.5723401023499999053e-12      2.7801445841700001548e-11      1.0152868095700000565e-09      1.5981771339099999254e-10      1.8383955720800000445e-11      3.5906341207500001117e-12      3.0901184210100001706e-14      2.7988477228400001225e-14      2.4753819925000001178e-14      2.6070135829000001605e-06         0.99816280880542174181
         2235868.5621199999005                  1805381300.75          6582883149.5600004196         0.46355220340300001824         -477.61511798700001918      1.0480777363399999865e+27         0.85508906868400003098          51.973227594699999088            -542755933014000000       0.0012773635612599999571                              0      8.7398261977099998036e-08                              0      0.00055522345262999997506      3.5867463999700001612e-09                              0      7.9555266085400004979e-10      2.5695010016600001075e-12      2.7783526925999999462e-11      1.0152000196600000812e-09      1.5982847260399999596e-10      1.8386929769100001561e-11      3.5920885985800001807e-12      3.0911434396300000827e-14      2.8010719492100001574e-14       2.478730819300000133e-14      2.6094527990500000891e-06         0.99816471052541178022
         2820331.2955499999225          1803170405.5899999142          6581962575.4200000763          0.4635539126359999873         -601.92942282499996054      1.0464131905000000341e+27          0.8552226032170000547          51.980912083799999834             967529244912999936       0.0012745044010100000341                              0      8.7457166511000001999e-08                              0      0.00055506682025499999144      3.5812353778599998246e-09                              0      7.9449763787099998443e-10      2.5649979356099998346e-12      2.7755069636300000631e-11       1.015060668280000023e-09      1.5984523593500000417e-10      1.8391607173199998654e-11      3.5943883673600001879e-12      3.0927609220100000945e-14       2.804595961990000038e-14      2.4840463401299998521e-14      2.6133245949899999257e-06         0.99816772239359186081
         3440059.5549400001764          1800379922.7300000191          6580799253.8999996185         0.46355606733699999955          -717.7151554209999631      1.0443131843299999893e+27         0.85539156692700002438          51.990602626799997665           -1046788008110000000       0.0012709002063100000544                              0      8.7531534585400003883e-08                              0      0.00055486872516899996347      3.5742800334799998286e-09                              0      7.9316583996300004523e-10      2.5593165601099998322e-12      2.7719132651800000714e-11      1.0148841822300000631e-09      1.5986633098099999213e-10      1.8397503948200001039e-11      3.5972923398200001375e-12      3.0948005246399999562e-14      2.8090491280300000637e-14      2.4907728983199998423e-14      2.6182223364600001997e-06         0.99817151972002182703
         3996642.5906299999915          1797661625.7799999714          6579662840.4300003052         0.46355816631699997554         -804.93877268899996125      1.0422684100900000069e+27         0.85555636623899999904          52.000052170700001852            -554162371440000000       0.0012673874313000000821                              0      8.7603674855999998807e-08                              0      0.00055467354962500001973      3.5674846724000001195e-09                              0       7.918642335899999623e-10       2.553770075210000049e-12      2.7683991842099999157e-11      1.0147093470700000257e-09      1.5988654726299998864e-10      1.8403215136500000874e-11      3.6001193764400001305e-12      3.0967805612799997302e-14      2.8133903071799999259e-14      2.4973438122299999041e-14      2.6230068017399998752e-06         0.99817522282279202983
